@RELATION train_kademe1

@ATTRIBUTE il {Ankara,Antalya,Bursa,Eskisehir,Istanbul,Izmir,Kocaeli,Mugla,bilinmiyor}
@ATTRIBUTE ilce {Adalar,Akseki,Aksu,Akyurt,Alanya,Aliaga,Alpu,Altindag,Arnavutkoy,Atasehir,Avcilar,Ayas,Bagcilar,Bahcelievler,Bakirkoy,Bala,Balcova,Basaksehir,Basiskele,Bayindir,Bayrakli,Bayrampasa,Bergama,Besiktas,Beykoz,Beylikduzu,Beylikova,Beyoglu,Beypazari,Bodrum,Bornova,Buca,Buyukcekmece,Camlidere,Cankaya,Catalca,Cayirova,Cekmekoy,Cesme,Cifteler,Cigli,Cubuk,Dalaman,Darica,Datca,Demre,Derince,Dikili,Dilovasi,Dosemealti,Elmadag,Elmali,Esenler,Esenyurt,Etimesgut,Eyupsultan,Fatih,Fethiye,Finike,Foca,Gaziemir,Gaziosmanpasa,Gazipasa,Gebze,Gemlik,Golbasi,Golcuk,Gudul,Gungoren,Gunyuzu,Gursu,Guzelbahce,Inegol,Inonu,Izmit,Iznik,Kadikoy,Kagithane,Kahramankazan,Kandira,Karabaglar,Karaburun,Karacabey,Karamursel,Karsiyaka,Kartal,Kartepe,Kas,Kecioren,Kemalpasa,Kemer,Kepez,Kestel,Kinik,Kizilcahamam,Konak,Konyaalti,Korfez,Korkuteli,Koycegiz,Kucukcekmece,Kumluca,Mahmudiye,Maltepe,Mamak,Manavgat,Marmaris,Menderes,Menemen,Mentese,Mihaliccik,Milas,Mudanya,Muratpasa,Mustafakemalpasa,Nallihan,Narlidere,Nilufer,Odemis,Odunpazari,Orhangazi,Ortaca,Osmangazi,Pendik,Polatli,Pursaklar,Sancaktepe,Saricakaya,Sariyer,Seferihisar,Selcuk,Sereflikochisar,Serik,Seydikemer,Seyitgazi,Sile,Silivri,Sincan,Sisli,Sivrihisar,Sultanbeyli,Sultangazi,Tepebasi,Tire,Torbali,Tuzla,Ula,Umraniye,Urla,Uskudar,Yatagan,Yenimahalle,Yenisehir,Yildirim,Zeytinburnu,bilinmiyor}
@ATTRIBUTE emlak_tipi {Satilik,bilinmiyor}
@ATTRIBUTE bina_yasi_raw {0,11_15_arasi,16_20_arasi,1_5_arasi,21_25_arasi,26_30_arasi,31_ve_uzeri,6_10_arasi,bilinmiyor}
@ATTRIBUTE bulundugu_kat_raw {1,10,11,12,13,14,15,16,17,18,19,2,20,21_ve_uzeri,3,4,5,6,7,8,9,Ara_Kat,Bahce,Bodrum,Cati,En_Ust_Kat,Giris,Kot_1,Kot_2,Kot_3,Teras_Kati,Tripleks,Villa_Kati,Yuksek_Giris,Zemin,bilinmiyor}
@ATTRIBUTE isitma_ana_sinif {Dogalgaz_Sobasi,Fancoil,Gunes_Enerjisi,Jeotermal,Kat_Kaloriferi,Klima,Kombi,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Soba,Somine,VRV,Yerden_Isitma,belirtilmemis_dogalgaz,belirtilmemis_elektrik,belirtilmemis_komur_odun,bilinmiyor,isi_pompasi,isi_pompasi_elektrik,isitma_yok,isitma_yok_dogalgaz,isitma_yok_elektrik}
@ATTRIBUTE mutfak_raw {*_Yenilenmis_mutfak_dolaplari,+,2_Wc,2_oda,30_m2_Kis_Bahcesi,4_Adet_Oda,:,:_Dogalgaz_ocak,:_Granit_tezgahli_kapali_mutfak,Ankastre_Mutfak,Banyo,Banyo_ve_Wc,Banyolar,Bir_adet_oda,Dogalgaz_Kombi,Doseme_Zemin_Kaplamasi_:_ANKA_Seramik,Genis_Ebeveyin_Odasi,Genis_Odasi,Isinma_Sistemi_Yerden_Isitmadir.,Misafir_WC,Modern_tasarima_sahip_cok_gozlu_ve_kullanisli_mutfak_dolaplari_mevcuttur,Salon_+_balkonkomple_deniz_manzarali,Somine,Teras_yapilmaya_uygun_cati,WC,WC﻿,Yardimci_Odasi,bilinmiyor}
@ATTRIBUTE mutfak_acik_mi {yok,var}
@ATTRIBUTE balkon {yok,var}
@ATTRIBUTE asansor {yok,var}
@ATTRIBUTE otopark {yok,var}
@ATTRIBUTE esyali {yok,var}
@ATTRIBUTE Bati {yok,var}
@ATTRIBUTE Dogu {yok,var}
@ATTRIBUTE Guney {yok,var}
@ATTRIBUTE Kuzey {yok,var}
@ATTRIBUTE Akilli_Ev {yok,var}
@ATTRIBUTE Celik_Kapi {yok,var}
@ATTRIBUTE Ebeveyn_Banyosu {yok,var}
@ATTRIBUTE Fiber_Internet {yok,var}
@ATTRIBUTE Isicam {yok,var}
@ATTRIBUTE Somine {yok,var}
@ATTRIBUTE Isi_Yalitimi {yok,var}
@ATTRIBUTE Mustakil_Havuzlu {yok,var}
@ATTRIBUTE Ses_Yalitimi {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Acik {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Kapali {yok,var}
@ATTRIBUTE Bogaz {yok,var}
@ATTRIBUTE Deniz {yok,var}
@ATTRIBUTE Doga {yok,var}
@ATTRIBUTE Gol {yok,var}
@ATTRIBUTE Nehir {yok,var}
@ATTRIBUTE Sehir {yok,var}
@ATTRIBUTE Dubleks {yok,var}
@ATTRIBUTE Bahce_Dubleksi {yok,var}
@ATTRIBUTE Cati_Dubleksi {yok,var}
@ATTRIBUTE Tripleks {yok,var}
@ATTRIBUTE sege_kademe {kademe_1,bilinmiyor}
@ATTRIBUTE salon_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE mutfak_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE banyo_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE metrekare_kategori {0_50_m2,100_125_m2,125_150_m2,150_200_m2,200_300_m2,300_m2_ve_ustu,50_75_m2,75_100_m2,bilinmiyor}
@ATTRIBUTE oda_kategori {1_oda,2_oda,3_oda,4_oda,5_oda,6_oda,7_oda_ve_ustu,bilinmiyor}
@ATTRIBUTE kat_sayisi_kategori {alcak_1_3_kat,bilinmiyor,cok_yuksek_16_ustu_kat,orta_4_7_kat,yuksek_8_15_kat}
@ATTRIBUTE banyo_kategori {1_banyo,2_banyo,3_banyo_ve_ustu,bilinmiyor}
@ATTRIBUTE guvenlik_kategori {dusuk,orta,yok,bilinmiyor}
@ATTRIBUTE luks_kategori {dusuk,orta,yok,bilinmiyor}
@ATTRIBUTE sosyal_kategori {dusuk,orta,yok,bilinmiyor}
@ATTRIBUTE ulasim_kategori {dusuk,orta,yok,bilinmiyor}
@ATTRIBUTE cevre_yakinlik_kategori {dusuk,orta,yok,yuksek,bilinmiyor}
@ATTRIBUTE ic_konfor_kategori {dusuk,orta,yok,yuksek,bilinmiyor}
@ATTRIBUTE engelli_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE fiyat_kategorisi {10_Milyon_TL_Ustu,1_5_2_Milyon_TL_Arasi,1_5_Milyon_TL_Alti,2_3_Milyon_TL_Arasi,3_4_Milyon_TL_Arasi,4_5_Milyon_TL_Arasi,5_7_Bucuk_Milyon_TL_Arasi,7_Bucuk_10_Milyon_TL_Arasi}

@DATA
Istanbul,Bahcelievler,Satilik,1_5_arasi,Giris,Kombi_Dogalgaz,bilinmiyor,yok,yok,var,var,yok,var,yok,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,bilinmiyor,normal,bilinmiyor,75_100_m2,3_oda,orta_4_7_kat,1_banyo,dusuk,yok,yok,orta,orta,yuksek,yok,7_Bucuk_10_Milyon_TL_Arasi
Istanbul,Kadikoy,Satilik,0,Yuksek_Giris,Merkezi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,iyi,bilinmiyor,75_100_m2,3_oda,yuksek_8_15_kat,2_banyo,dusuk,dusuk,yok,dusuk,orta,yuksek,yok,10_Milyon_TL_Ustu
Istanbul,Beylikduzu,Satilik,1_5_arasi,1,Kombi,bilinmiyor,yok,var,var,yok,yok,var,yok,var,yok,yok,var,var,yok,var,yok,yok,yok,yok,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,normal,bilinmiyor,125_150_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,dusuk,dusuk,orta,yuksek,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Kocaeli,Gebze,Satilik,1_5_arasi,3,Kombi,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,kotu,normal,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,dusuk,orta,yuksek,orta,yok,5_7_Bucuk_Milyon_TL_Arasi
Ankara,Cankaya,Satilik,0,Giris,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,var,var,yok,yok,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,iyi,normal,kotu,150_200_m2,5_oda,orta_4_7_kat,2_banyo,yok,yok,yok,dusuk,yok,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Istanbul,Pendik,Satilik,16_20_arasi,6,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,kotu,bilinmiyor,bilinmiyor,75_100_m2,3_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,yok,yok,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Ankara,Kecioren,Satilik,11_15_arasi,3,Kombi,bilinmiyor,yok,var,yok,var,yok,var,var,var,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,yok,kademe_1,normal,iyi,bilinmiyor,200_300_m2,7_oda_ve_ustu,orta_4_7_kat,2_banyo,yok,dusuk,dusuk,dusuk,yuksek,orta,yok,5_7_Bucuk_Milyon_TL_Arasi
Istanbul,Bagcilar,Satilik,26_30_arasi,3,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,bilinmiyor,bilinmiyor,bilinmiyor,100_125_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,dusuk,yuksek,yok,4_5_Milyon_TL_Arasi
Ankara,Kecioren,Satilik,0,5,Kombi_Dogalgaz,bilinmiyor,yok,yok,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,bilinmiyor,bilinmiyor,bilinmiyor,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Ankara,Etimesgut,Satilik,11_15_arasi,Bahce,Kombi,bilinmiyor,yok,var,yok,var,yok,var,var,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,kademe_1,iyi,bilinmiyor,bilinmiyor,300_m2_ve_ustu,7_oda_ve_ustu,orta_4_7_kat,3_banyo_ve_ustu,yok,yok,yok,dusuk,orta,orta,yok,10_Milyon_TL_Ustu
Antalya,Muratpasa,Satilik,21_25_arasi,3,Klima,bilinmiyor,yok,var,var,var,yok,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,kotu,kotu,bilinmiyor,125_150_m2,4_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,orta,dusuk,yok,5_7_Bucuk_Milyon_TL_Arasi
Ankara,Yenimahalle,Satilik,21_25_arasi,3,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,var,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,kotu,normal,kotu,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Istanbul,Esenyurt,Satilik,6_10_arasi,Yuksek_Giris,Kombi,bilinmiyor,yok,var,var,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,kotu,bilinmiyor,bilinmiyor,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,dusuk,orta,yuksek,orta,yok,2_3_Milyon_TL_Arasi
Ankara,Yenimahalle,Satilik,31_ve_uzeri,Yuksek_Giris,Merkezi,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,normal,normal,bilinmiyor,100_125_m2,4_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,yok,yok,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Istanbul,Bahcelievler,Satilik,21_25_arasi,1,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,var,yok,yok,yok,var,yok,yok,var,yok,yok,var,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,normal,normal,kotu,100_125_m2,4_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,yok,dusuk,orta,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Istanbul,Kadikoy,Satilik,11_15_arasi,2,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,normal,kotu,bilinmiyor,100_125_m2,3_oda,yuksek_8_15_kat,1_banyo,dusuk,dusuk,yok,dusuk,yok,yuksek,dusuk,10_Milyon_TL_Ustu
Antalya,Kepez,Satilik,0,Ara_Kat,isitma_yok_elektrik,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,iyi,bilinmiyor,100_125_m2,3_oda,orta_4_7_kat,1_banyo,dusuk,yok,yok,orta,orta,orta,yok,4_5_Milyon_TL_Arasi
Kocaeli,Korfez,Satilik,1_5_arasi,3,Kombi,bilinmiyor,yok,var,yok,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,kademe_1,bilinmiyor,normal,bilinmiyor,150_200_m2,5_oda,orta_4_7_kat,1_banyo,yok,yok,dusuk,orta,yuksek,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Istanbul,Kartal,Satilik,1_5_arasi,Yuksek_Giris,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,bilinmiyor,bilinmiyor,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,dusuk,yok,orta,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Istanbul,Esenyurt,Satilik,6_10_arasi,8,Kombi_Dogalgaz,bilinmiyor,yok,yok,var,var,yok,yok,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,bilinmiyor,bilinmiyor,50_75_m2,2_oda,cok_yuksek_16_ustu_kat,1_banyo,orta,dusuk,dusuk,orta,orta,yuksek,yok,1_5_2_Milyon_TL_Arasi
Istanbul,Besiktas,Satilik,26_30_arasi,bilinmiyor,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,yok,yok,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,kademe_1,normal,iyi,bilinmiyor,200_300_m2,7_oda_ve_ustu,alcak_1_3_kat,2_banyo,yok,yok,yok,yok,yok,yok,yok,10_Milyon_TL_Ustu
Bursa,Yildirim,Satilik,26_30_arasi,4,Kombi_Dogalgaz,bilinmiyor,yok,var,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,kotu,kotu,kotu,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,yok,orta,dusuk,yok,1_5_2_Milyon_TL_Arasi
Eskisehir,Tepebasi,Satilik,0,3,Yerden_Isitma,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,iyi,iyi,125_150_m2,4_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,dusuk,orta,yuksek,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Ankara,Sincan,Satilik,21_25_arasi,3,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,iyi,bilinmiyor,100_125_m2,4_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,yok,dusuk,orta,yuksek,yok,3_4_Milyon_TL_Arasi
Antalya,Muratpasa,Satilik,11_15_arasi,4,Kombi,bilinmiyor,yok,var,var,var,yok,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,var,yok,kademe_1,normal,normal,kotu,200_300_m2,6_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,dusuk,orta,yuksek,yuksek,yok,7_Bucuk_10_Milyon_TL_Arasi
Kocaeli,Darica,Satilik,0,4,Yerden_Isitma,bilinmiyor,yok,var,var,var,yok,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,normal,bilinmiyor,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yuksek,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Izmir,Cesme,Satilik,6_10_arasi,2,Klima,bilinmiyor,yok,var,var,var,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,kademe_1,kotu,iyi,bilinmiyor,50_75_m2,2_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,orta,yok,7_Bucuk_10_Milyon_TL_Arasi
Izmir,Karsiyaka,Satilik,31_ve_uzeri,3,Kombi,bilinmiyor,yok,var,yok,var,yok,var,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,iyi,kotu,bilinmiyor,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,yok,yok,dusuk,yok,5_7_Bucuk_Milyon_TL_Arasi
Antalya,Muratpasa,Satilik,26_30_arasi,2,Klima,bilinmiyor,yok,var,var,var,yok,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,normal,kotu,bilinmiyor,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yuksek,dusuk,yok,4_5_Milyon_TL_Arasi
Ankara,Mamak,Satilik,6_10_arasi,4,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,yok,kademe_1,normal,iyi,bilinmiyor,150_200_m2,5_oda,orta_4_7_kat,3_banyo_ve_ustu,orta,orta,yok,dusuk,orta,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Eskisehir,Tepebasi,Satilik,0,3,Yerden_Isitma,bilinmiyor,yok,var,var,var,yok,var,var,var,yok,yok,var,var,yok,var,var,yok,yok,yok,var,yok,var,var,var,var,yok,var,yok,yok,yok,yok,kademe_1,iyi,iyi,bilinmiyor,125_150_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,orta,orta,orta,yuksek,yuksek,yok,4_5_Milyon_TL_Arasi
Istanbul,Sariyer,Satilik,6_10_arasi,14,VRV,bilinmiyor,yok,var,var,var,var,yok,var,yok,var,yok,var,var,yok,var,var,yok,yok,yok,var,yok,var,var,var,var,yok,var,yok,yok,yok,yok,kademe_1,iyi,iyi,normal,200_300_m2,4_oda,cok_yuksek_16_ustu_kat,2_banyo,dusuk,orta,orta,orta,yuksek,yuksek,yok,10_Milyon_TL_Ustu
Istanbul,Kadikoy,Satilik,31_ve_uzeri,9,Merkezi,bilinmiyor,yok,var,var,var,yok,var,yok,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,normal,kotu,bilinmiyor,125_150_m2,4_oda,yuksek_8_15_kat,1_banyo,yok,dusuk,yok,yok,yok,yuksek,yok,10_Milyon_TL_Ustu
Antalya,Alanya,Satilik,6_10_arasi,1,Klima,bilinmiyor,yok,var,var,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,bilinmiyor,bilinmiyor,bilinmiyor,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,dusuk,dusuk,dusuk,orta,yuksek,yok,3_4_Milyon_TL_Arasi
Kocaeli,Basiskele,Satilik,0,Cati,Yerden_Isitma,bilinmiyor,yok,var,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,var,yok,kademe_1,iyi,bilinmiyor,bilinmiyor,125_150_m2,3_oda,orta_4_7_kat,1_banyo,yok,dusuk,yok,orta,yuksek,yuksek,yok,4_5_Milyon_TL_Arasi
Kocaeli,Gebze,Satilik,26_30_arasi,En_Ust_Kat,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,var,yok,yok,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,normal,normal,75_100_m2,3_oda,orta_4_7_kat,1_banyo,dusuk,yok,yok,orta,orta,yuksek,yok,2_3_Milyon_TL_Arasi
Ankara,Mamak,Satilik,26_30_arasi,Ara_Kat,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,yok,var,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,iyi,kotu,kotu,100_125_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yuksek,yuksek,yok,3_4_Milyon_TL_Arasi
Mugla,Ortaca,Satilik,1_5_arasi,Ara_Kat,Kat_Kaloriferi,bilinmiyor,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,kademe_1,bilinmiyor,iyi,iyi,75_100_m2,3_oda,orta_4_7_kat,2_banyo,yok,yok,yok,yok,yok,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Istanbul,Sariyer,Satilik,6_10_arasi,19,VRV,bilinmiyor,yok,var,var,var,yok,yok,yok,var,yok,yok,var,var,yok,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,normal,bilinmiyor,normal,200_300_m2,4_oda,cok_yuksek_16_ustu_kat,2_banyo,dusuk,orta,orta,orta,yuksek,yuksek,yok,10_Milyon_TL_Ustu
Istanbul,Tuzla,Satilik,31_ve_uzeri,Bahce,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,kademe_1,iyi,kotu,bilinmiyor,200_300_m2,5_oda,orta_4_7_kat,2_banyo,yok,yok,dusuk,dusuk,orta,orta,yok,10_Milyon_TL_Ustu
Antalya,Kepez,Satilik,0,Yuksek_Giris,Klima,bilinmiyor,yok,var,var,var,yok,var,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,normal,bilinmiyor,kotu,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,dusuk,dusuk,orta,yuksek,yok,3_4_Milyon_TL_Arasi
Istanbul,Gaziosmanpasa,Satilik,11_15_arasi,2,Kombi,bilinmiyor,yok,yok,yok,var,yok,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,normal,bilinmiyor,75_100_m2,3_oda,orta_4_7_kat,2_banyo,yok,yok,dusuk,dusuk,yuksek,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Kocaeli,Korfez,Satilik,11_15_arasi,Yuksek_Giris,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,yok,yok,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,iyi,normal,bilinmiyor,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Istanbul,Atasehir,Satilik,6_10_arasi,1,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_1,iyi,normal,iyi,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,dusuk,yok,dusuk,yuksek,yuksek,yok,7_Bucuk_10_Milyon_TL_Arasi
Ankara,Kecioren,Satilik,26_30_arasi,2,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,var,yok,var,var,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_1,iyi,iyi,bilinmiyor,125_150_m2,4_oda,orta_4_7_kat,1_banyo,dusuk,yok,yok,dusuk,yok,yuksek,yok,4_5_Milyon_TL_Arasi
Bursa,Mudanya,Satilik,0,1,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,kademe_1,normal,normal,iyi,125_150_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,yok,dusuk,dusuk,yuksek,orta,yok,7_Bucuk_10_Milyon_TL_Arasi
